Name,Platform,Year,Genre,Publisher,Global_Sales,Meta_Score,User_Score
SUPER MARIO GALAXY 2,WII,2010.0,Platform,Nintendo,7.69,97,9.1
CALL OF DUTY: ADVANCED WARFARE,PS4,2014.0,Shooter,Activision,7.6,83,57.0
THE LEGEND OF ZELDA: OCARINA OF TIME,N64,1998.0,Action,Nintendo,7.6,99,9.1
CALL OF DUTY: WORLD AT WAR,X360,2008.0,Shooter,Activision,7.37,84,7.6
BATTLEFIELD 3,X360,2011.0,Shooter,Electronic Arts,7.34,84,7.5
THE LEGEND OF ZELDA: TWILIGHT PRINCESS,WII,2006.0,Action,Nintendo,7.31,95,9.0
JUST DANCE,WII,2009.0,Misc,Ubisoft,7.27,49,7.8
BATTLEFIELD 3,PS3,2011.0,Shooter,Electronic Arts,7.23,85,7.5
NEED FOR SPEED UNDERGROUND,PS2,2003.0,Racing,Electronic Arts,7.2,85,8.7
SUPER SMASH BROS. MELEE,GC,2001.0,Fighting,Nintendo,7.07,92,9.1
MARIO KART 8,WIIU,2014.0,Racing,Nintendo,6.96,88,89.0
FALLOUT 4,PS4,2015.0,Role-Playing,Bethesda Softworks,6.96,87,66.0
MARIO KART: DOUBLE DASH!!,GC,2003.0,Racing,Nintendo,6.95,87,8.6
JUST DANCE 4,WII,2012.0,Misc,Ubisoft,6.91,74,7.7
FIFA 14,PS3,2013.0,Sports,Electronic Arts,6.9,86,4.3
NEED FOR SPEED UNDERGROUND 2,PS2,2004.0,Racing,Electronic Arts,6.9,82,8.6
UNCHARTED 3: DRAKE'S DECEPTION,PS3,2011.0,Action,Sony Computer Entertainment,6.83,92,8.4
GEARS OF WAR 2,X360,2008.0,Shooter,Microsoft Game Studios,6.76,93,7.7
UNCHARTED 2: AMONG THIEVES,PS3,2009.0,Action,Sony Computer Entertainment,6.73,96,8.9
CALL OF DUTY 4: MODERN WARFARE,PS3,2007.0,Shooter,Activision,6.72,94,8.4
RED DEAD REDEMPTION,PS3,2010.0,Action,Take-Two Interactive,6.6,95,8.9
FIFA 15,PS4,2014.0,Sports,Electronic Arts,6.59,82,57.0
DONKEY KONG COUNTRY RETURNS,WII,2010.0,Platform,Nintendo,6.59,87,8.6
THE ELDER SCROLLS V: SKYRIM,PS3,2011.0,Role-Playing,Bethesda Softworks,6.56,92,6.5
ASSASSIN'S CREED III,PS3,2012.0,Action,Ubisoft,6.5,85,6.9
KINGDOM HEARTS,PS2,2002.0,Role-Playing,Sony Computer Entertainment,6.4,85,9.0
HALO 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,6.36,83,7.2
RED DEAD REDEMPTION,X360,2010.0,Action,Take-Two Interactive,6.34,95,9.0
SUPER MARIO SUNSHINE,GC,2002.0,Platform,Nintendo,6.31,92,8.6
WORLD OF WARCRAFT,PC,2004.0,Role-Playing,Activision,6.28,93,7.4
KINECT SPORTS,X360,2010.0,Sports,Microsoft Game Studios,6.24,73,7.5
GEARS OF WAR 3,X360,2011.0,Shooter,Microsoft Game Studios,6.24,91,7.9
GEARS OF WAR,X360,2006.0,Shooter,Microsoft Game Studios,6.11,94,8.3
METAL GEAR SOLID 2: SONS OF LIBERTY,PS2,2001.0,Action,Konami Digital Entertainment,6.05,96,8.8
METAL GEAR SOLID 4: GUNS OF THE PATRIOTS,PS3,2008.0,Action,Konami Digital Entertainment,6.03,94,8.8
THE LAST OF US,PS3,2013.0,Action,Sony Computer Entertainment Europe,5.99,95,9.2
FINAL FANTASY XII,PS2,2006.0,Role-Playing,Square Enix,5.95,92,7.9
LITTLEBIGPLANET,PS3,2008.0,Platform,Sony Computer Entertainment,5.92,95,6.8
LEGO STAR WARS: THE COMPLETE SAGA,WII,2007.0,Action,LucasArts,5.83,80,8.7
COOKING MAMA,DS,2006.0,Simulation,505 Games,5.72,67,7.3
DESTINY,PS4,2014.0,Shooter,Activision,5.65,76,61.0
ASSASSIN'S CREED II,PS3,2009.0,Action,Ubisoft,5.57,91,8.6
SUPER SMASH BROS.,N64,1999.0,Fighting,Nintendo,5.55,79,8.7
ASSASSIN'S CREED,X360,2007.0,Adventure,Ubisoft,5.55,81,7.7
BATMAN: ARKHAM CITY,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,5.53,96,8.7
FORZA MOTORSPORT 3,X360,2009.0,Racing,Microsoft Game Studios,5.51,92,8.1
SUPER MARIO ADVANCE,GBA,2001.0,Platform,Nintendo,5.49,84,7.3
CALL OF DUTY: WORLD AT WAR,PS3,2008.0,Shooter,Activision,5.43,85,7.6
CRASH BANDICOOT: THE WRATH OF CORTEX,PS2,2001.0,Platform,Universal Interactive,5.42,66,7.2
ASSASSIN'S CREED III,X360,2012.0,Action,Ubisoft,5.3,84,6.8
FINAL FANTASY IX,PS,2000.0,Role-Playing,SquareSoft,5.3,94,9.2
FINAL FANTASY X-2,PS2,2003.0,Role-Playing,Electronic Arts,5.29,85,7.5
ASSASSIN'S CREED II,X360,2009.0,Action,Ubisoft,5.27,90,8.8
DIABLO III,PC,2012.0,Role-Playing,Activision,5.2,88,4.1
NEW SUPER MARIO BROS. U,WIIU,2012.0,Platform,Nintendo,5.19,84,80.0
FIFA SOCCER 13,X360,2012.0,Action,Electronic Arts,5.18,90,6.2
THE LEGEND OF ZELDA: PHANTOM HOURGLASS,DS,2007.0,Action,Nintendo,5.17,90,8.0
MARIO & SONIC AT THE OLYMPIC GAMES,DS,2008.0,Sports,Sega,5.14,70,7.2
FABLE III,X360,2010.0,Role-Playing,Microsoft Game Studios,5.13,80,6.5
CALL OF DUTY: ADVANCED WARFARE,XONE,2014.0,Shooter,Activision,5.13,81,55.0
GUITAR HERO II,PS2,2006.0,Misc,RedOctane,5.12,92,8.5
RESIDENT EVIL 5,PS3,2009.0,Action,Capcom,5.11,84,7.5
GRAND THEFT AUTO V,XONE,2014.0,Action,Take-Two Interactive,5.08,97,78.0
GRAND THEFT AUTO: VICE CITY STORIES,PSP,2006.0,Action,Take-Two Interactive,5.08,86,8.2
FIFA SOCCER 11,PS3,2010.0,Sports,Electronic Arts,5.08,89,8.0
LINK'S CROSSBOW TRAINING,WII,2007.0,Shooter,Nintendo,5.0,68,7.2
GUITAR HERO III: LEGENDS OF ROCK,PS2,2007.0,Misc,Activision,4.98,82,8.4
FALLOUT 3,X360,2008.0,Role-Playing,Bethesda Softworks,4.96,93,8.5
UNCHARTED: DRAKE'S FORTUNE,PS3,2007.0,Action,Sony Computer Entertainment,4.94,88,8.0
MADDEN NFL 06,PS2,2005.0,Sports,Electronic Arts,4.91,88,8.0
LEGO STAR WARS: THE COMPLETE SAGA,DS,2007.0,Action,LucasArts,4.9,80,6.3
DIDDY KONG RACING,N64,1997.0,Racing,Nintendo,4.88,88,8.5
GOD OF WAR III,PS3,2010.0,Action,Sony Computer Entertainment,4.84,92,8.8
STARCRAFT II: WINGS OF LIBERTY,PC,2010.0,Strategy,Activision,4.83,93,8.3
ASSASSIN'S CREED,PS3,2007.0,Adventure,Ubisoft,4.83,81,7.3
FIFA 17,PS4,2016.0,Sports,Electronic Arts,4.77,85,48.0
BATMAN: ARKHAM CITY,X360,2011.0,Action,Warner Bros. Interactive Entertainment,4.76,94,8.7
DRIVER 2,PS,2000.0,Action,Atari,4.73,62,7.8
THE SIMPSONS: HIT & RUN,PS2,2003.0,Racing,Vivendi Games,4.7,78,8.7
TONY HAWK'S PRO SKATER 2,PS,2000.0,Sports,Activision,4.68,98,7.4
ANIMAL CROSSING: CITY FOLK,WII,2008.0,Simulation,Nintendo,4.68,73,7.9
THE LORD OF THE RINGS: THE TWO TOWERS,PS2,2002.0,Action,Electronic Arts,4.67,82,8.1
FORZA MOTORSPORT 4,X360,2011.0,Racing,Microsoft Game Studios,4.64,91,8.2
GUITAR HERO III: LEGENDS OF ROCK,WII,2007.0,Misc,Activision,4.62,86,7.8
MARIO & SONIC AT THE OLYMPIC WINTER GAMES,WII,2009.0,Sports,Sega,4.58,72,7.5
LUIGI'S MANSION: DARK MOON,3DS,2013.0,Action,Nintendo,4.58,86,8.4
SPLATOON,WIIU,2015.0,Shooter,Nintendo,4.57,81,87.0
GUITAR HERO III: LEGENDS OF ROCK,X360,2007.0,Misc,Activision,4.53,85,7.9
MADDEN NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.53,91,7.9
MADDEN NFL 07,PS2,2006.0,Sports,Electronic Arts,4.49,84,8.2
SPIDER-MAN: THE MOVIE,PS2,2002.0,Action,Activision,4.48,76,7.7
UNCHARTED: THE NATHAN DRAKE COLLECTION,PS4,2015.0,Action,Sony Computer Entertainment,4.47,86,85.0
GOD OF WAR,PS2,2005.0,Action,Sony Computer Entertainment,4.45,94,8.9
NINTENDO LAND,WIIU,2012.0,Misc,Nintendo,4.44,77,79.0
TONY HAWK'S PRO SKATER 3,PS2,2001.0,Sports,Activision,4.41,97,7.5
THE ELDER SCROLLS IV: OBLIVION,X360,2006.0,Role-Playing,Take-Two Interactive,4.39,94,8.7
RESISTANCE: FALL OF MAN,PS3,2006.0,Shooter,Sony Computer Entertainment,4.35,86,8.1
FIFA 14,X360,2013.0,Sports,Electronic Arts,4.31,84,4.2
FABLE II,X360,2008.0,Role-Playing,Microsoft Game Studios,4.31,89,6.6
HALO 5: GUARDIANS,XONE,2015.0,Shooter,Microsoft Game Studios,4.26,84,64.0
SUPER MARIO 3D WORLD,WIIU,2013.0,Platform,Nintendo,4.25,93,89.0
BATMAN: ARKHAM ASYLUM,PS3,2009.0,Action,Eidos Interactive,4.25,91,8.8
ASSASSIN'S CREED: REVELATIONS,PS3,2011.0,Action,Ubisoft,4.24,80,7.6
NAMCO MUSEUM,GBA,2001.0,Misc,Namco Bandai Games,4.24,79,7.3
METAL GEAR SOLID 3: SNAKE EATER,PS2,2004.0,Action,Konami Digital Entertainment,4.23,91,9.0
DAXTER,PSP,2006.0,Platform,Sony Computer Entertainment,4.22,85,8.6
FIFA SOCCER 06,PS2,2005.0,Sports,Electronic Arts,4.21,80,7.8
UNCHARTED 4: A THIEF'S END,PS4,2016.0,Shooter,Sony Computer Entertainment,4.2,93,84.0
ASSASSIN'S CREED: REVELATIONS,X360,2011.0,Action,Ubisoft,4.19,80,7.2
STREET FIGHTER IV,PS3,2009.0,Fighting,Capcom,4.19,94,7.3
MADDEN NFL 2003,PS2,2002.0,Sports,Electronic Arts,4.14,95,7.4
WATCH DOGS,PS4,2014.0,Action,Ubisoft,4.14,80,64.0
THE LEGEND OF ZELDA: SKYWARD SWORD,WII,2011.0,Action,Nintendo,4.1,93,8.1
CARNIVAL GAMES,WII,2007.0,Misc,Take-Two Interactive,4.1,56,6.0
FALLOUT 4,XONE,2015.0,Role-Playing,Bethesda Softworks,4.09,88,64.0
WORLD OF WARCRAFT: THE BURNING CRUSADE,PC,2007.0,Role-Playing,Activision,4.09,91,7.0
FALLOUT: NEW VEGAS,X360,2010.0,Role-Playing,Bethesda Softworks,4.08,84,8.3
GOD OF WAR II,PS2,2007.0,Action,Sony Computer Entertainment,4.07,93,8.9
FORZA MOTORSPORT 2,X360,2007.0,Racing,Microsoft Game Studios,4.06,90,8.3
TEKKEN TAG TOURNAMENT,PS2,2000.0,Fighting,Namco Bandai Games,4.05,85,8.5
FAR CRY 4,PS4,2014.0,Shooter,Ubisoft,4.03,85,77.0
STAR FOX 64,N64,1997.0,Shooter,Nintendo,4.03,88,8.9
FALLOUT 3,PS3,2008.0,Role-Playing,Bethesda Softworks,4.01,90,8.0
LEFT 4 DEAD 2,X360,2009.0,Shooter,Electronic Arts,3.99,89,8.6
EA SPORTS ACTIVE,WII,2009.0,Sports,Electronic Arts,3.92,81,8.2
TONY HAWK'S UNDERGROUND,PS2,2003.0,Sports,Activision,3.9,90,8.7
ASSASSIN'S CREED IV: BLACK FLAG,PS3,2013.0,Action,Ubisoft,3.89,88,8.2
THE ELDER SCROLLS V: SKYRIM,PC,2011.0,Role-Playing,Bethesda Softworks,3.88,94,8.4
TEKKEN 5,PS2,2005.0,Fighting,Namco Bandai Games,3.87,88,8.7
SPORTS CHAMPIONS,PS3,2010.0,Sports,Sony Computer Entertainment,3.87,76,7.9
NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,3.85,87,67.0
FLASH FOCUS: VISION TRAINING IN MINUTES A DAY,DS,2007.0,Misc,Nintendo,3.84,59,4.4
MARIO & LUIGI: BOWSER'S INSIDE STORY,DS,2009.0,Role-Playing,Nintendo,3.83,90,8.8
BIG BRAIN ACADEMY: WII DEGREE,WII,2007.0,Misc,Nintendo,3.82,68,7.0
BATMAN: ARKHAM KNIGHT,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,3.79,87,78.0
MARIO & SONIC AT THE LONDON 2012 OLYMPIC GAMES,WII,2011.0,Sports,Sega,3.78,66,7.8
LEGO INDIANA JONES: THE ORIGINAL ADVENTURES,X360,2008.0,Action,Activision,3.78,77,7.6
RATCHET & CLANK: SIZE MATTERS,PSP,2007.0,Platform,Sony Computer Entertainment,3.77,85,8.1
THE SIMS: UNLEASHED,PC,2002.0,Simulation,Electronic Arts,3.76,79,7.7
SUPER PAPER MARIO,WII,2007.0,Platform,Nintendo,3.76,85,8.0
HARRY POTTER AND THE SORCERER'S STONE,PS,2001.0,Action,Electronic Arts,3.73,64,7.5
THE WITCHER 3: WILD HUNT,PS4,2015.0,Role-Playing,Namco Bandai Games,3.73,92,92.0
SPYRO: YEAR OF THE DRAGON,PS,2000.0,Platform,Sony Computer Entertainment,3.71,91,8.9
FIFA SOCCER 2005,PS2,2004.0,Sports,Electronic Arts,3.7,81,7.6
BATTLEFIELD 4,PS3,2013.0,Shooter,Electronic Arts,3.69,80,5.9
MYSIMS,DS,2007.0,Simulation,Electronic Arts,3.69,67,7.0
TONY HAWK'S PRO SKATER 4,PS2,2002.0,Sports,Activision,3.67,94,8.4
MIDNIGHT CLUB 3: DUB EDITION,PSP,2005.0,Racing,Take-Two Interactive,3.66,74,8.2
BANJO-KAZOOIE,N64,1998.0,Platform,Nintendo,3.65,92,9.1
SOCOM: U.S. NAVY SEALS,PS2,2002.0,Shooter,Sony Computer Entertainment,3.65,82,7.9
GRAN TURISMO 6,PS3,2013.0,Racing,Sony Computer Entertainment,3.64,81,8.0
JAK AND DAXTER: THE PRECURSOR LEGACY,PS2,2001.0,Platform,Sony Computer Entertainment,3.64,90,8.8
POKEMON SNAP,N64,1999.0,Simulation,Nintendo,3.63,77,7.5
FIFA SOCCER 10,PS3,2009.0,Sports,Electronic Arts,3.63,91,7.5
CALL OF DUTY: GHOSTS,PS4,2013.0,Shooter,Activision,3.63,78,38.0
RESIDENT EVIL 4,PS2,2005.0,Action,Capcom,3.62,96,9.0
TOM CLANCY'S THE DIVISION,PS4,2016.0,Shooter,Ubisoft,3.61,80,70.0
STAR WARS: BATTLEFRONT,PS2,2004.0,Shooter,LucasArts,3.61,82,8.7
COOKING MAMA 2: DINNER WITH FRIENDS,DS,2007.0,Simulation,505 Games,3.61,70,8.1
LUIGI'S MANSION,GC,2001.0,Action,Nintendo,3.6,78,8.5
STAR WARS: BATTLEFRONT II,PS2,2005.0,Shooter,LucasArts,3.59,84,8.9
GRAND THEFT AUTO: LIBERTY CITY STORIES,PS2,2006.0,Action,Take-Two Interactive,3.54,78,7.8
JAMES BOND 007: AGENT UNDER FIRE,PS2,2001.0,Shooter,Electronic Arts,3.53,72,7.9
BATTLEFIELD 4,X360,2013.0,Shooter,Electronic Arts,3.53,79,5.7
FIFA SOCCER 11,X360,2010.0,Sports,Electronic Arts,3.53,88,7.5
LEFT 4 DEAD,X360,2008.0,Shooter,Electronic Arts,3.52,89,7.9
MARIO & SONIC AT THE OLYMPIC WINTER GAMES,DS,2009.0,Sports,Sega,3.52,76,7.9
RESIDENT EVIL 5,X360,2009.0,Action,Capcom,3.51,83,7.5
ASSASSIN'S CREED: BROTHERHOOD,X360,2010.0,Action,Ubisoft,3.5,89,8.3
BATMAN: ARKHAM ASYLUM,X360,2009.0,Action,Eidos Interactive,3.5,92,8.7
CLUBHOUSE GAMES,DS,2006.0,Misc,Nintendo,3.5,83,7.8
BATTLEFIELD: BAD COMPANY 2,X360,2010.0,Shooter,Electronic Arts,3.48,88,8.6
GUITAR HERO: ON TOUR,DS,2008.0,Misc,Activision,3.48,71,8.2
FAR CRY 3,PS3,2012.0,Shooter,Ubisoft,3.45,90,8.5
BORDERLANDS,X360,2009.0,Shooter,Take-Two Interactive,3.44,84,8.2
TEKKEN 4,PS2,2002.0,Fighting,Namco Bandai Games,3.44,79,8.2
BATTLEFIELD 4,PS4,2013.0,Shooter,Electronic Arts,3.43,85,70.0
LITTLEBIGPLANET 2,PS3,2011.0,Platform,Sony Computer Entertainment,3.42,91,8.4
SPIDER-MAN 2,PS2,2004.0,Action,Activision,3.41,80,8.8
FIFA SOCCER 2003,PS2,2002.0,Sports,Electronic Arts,3.4,88,6.5
CRASH BASH,PS,2000.0,Misc,Sony Computer Entertainment,3.39,68,8.2
LEGO BATMAN: THE VIDEOGAME,X360,2008.0,Action,Warner Bros. Interactive Entertainment,3.38,76,7.8
METAL GEAR SOLID V: THE PHANTOM PAIN,PS4,2015.0,Action,Konami Digital Entertainment,3.38,93,82.0
THE LEGEND OF ZELDA: SPIRIT TRACKS,DS,2009.0,Action,Nintendo,3.38,87,7.9
THE LEGEND OF ZELDA: MAJORA'S MASK,N64,2000.0,Action,Nintendo,3.36,95,9.1
ASSASSIN'S CREED IV: BLACK FLAG,X360,2013.0,Action,Ubisoft,3.34,86,7.9
JAMES BOND 007: NIGHTFIRE,PS2,2002.0,Shooter,Electronic Arts,3.33,77,8.5
RATCHET & CLANK,PS2,2002.0,Platform,Sony Computer Entertainment,3.33,88,8.9
MARIO PARTY 9,WII,2012.0,Misc,Nintendo,3.32,73,6.8
STAR WARS EPISODE III: REVENGE OF THE SITH,PS2,2005.0,Action,LucasArts,3.32,60,7.2
MAX PAYNE,PS2,2001.0,Shooter,Take-Two Interactive,3.31,80,8.4
THE LORD OF THE RINGS: THE RETURN OF THE KING,PS2,2003.0,Action,Electronic Arts,3.28,85,8.6
ASSASSIN'S CREED SYNDICATE,PS4,2015.0,Action,Ubisoft,3.28,76,69.0
DESTINY,XONE,2014.0,Shooter,Activision,3.28,75,55.0
TRUE CRIME: STREETS OF LA,PS2,2003.0,Action,Activision,3.27,77,7.9
WII MUSIC,WII,2008.0,Misc,Nintendo,3.27,63,4.8
FIFA 16,XONE,2015.0,Sports,Electronic Arts,3.23,84,44.0
L.A. NOIRE,PS3,2011.0,Adventure,Take-Two Interactive,3.23,89,7.8
MADDEN NFL 16,PS4,2015.0,Sports,Electronic Arts,3.22,83,59.0
WWF SMACKDOWN! 2: KNOW YOUR ROLE,PS,2000.0,Fighting,THQ,3.2,90,8.7
GOD OF WAR: CHAINS OF OLYMPUS,PSP,2008.0,Action,Sony Computer Entertainment,3.19,91,8.6
DANCE CENTRAL,X360,2010.0,Misc,MTV Games,3.19,82,7.6
ENTER THE MATRIX,PS2,2003.0,Action,Atari,3.18,62,8.1
SUPER MARIO MAKER,WIIU,2015.0,Platform,Nintendo,3.18,88,87.0
FALLOUT: NEW VEGAS,PS3,2010.0,Role-Playing,Bethesda Softworks,3.17,82,7.9
ACE COMBAT 04: SHATTERED SKIES,PS2,2001.0,Simulation,Sony Computer Entertainment Europe,3.17,89,8.9
LEGO BATMAN: THE VIDEOGAME,DS,2008.0,Action,Warner Bros. Interactive Entertainment,3.15,72,8.1
SONIC RUSH,DS,2005.0,Platform,Sega,3.15,82,8.1
RESIDENT EVIL 6,PS3,2012.0,Shooter,Capcom,3.15,74,5.5
HALO: THE MASTER CHIEF COLLECTION,XONE,2014.0,Shooter,Microsoft Game Studios,3.15,85,74.0
FIFA SOCCER 08,PS2,2007.0,Sports,Electronic Arts,3.14,83,6.6
SPIDER-MAN,PS,2000.0,Action,Activision,3.13,87,8.8
THE ELDER SCROLLS IV: OBLIVION,PS3,2007.0,Role-Playing,Ubisoft,3.12,93,8.0
HEAVY RAIN,PS3,2010.0,Adventure,Sony Computer Entertainment,3.12,87,7.7
MASS EFFECT 2,X360,2010.0,Role-Playing,Electronic Arts,3.11,96,8.9
DRAGON BALL Z: BUDOKAI,PS2,2002.0,Fighting,Atari,3.09,67,7.9
MADDEN NFL 2002,PS2,2001.0,Sports,Electronic Arts,3.08,94,7.4
BORDERLANDS 2,X360,2012.0,Shooter,Take-Two Interactive,3.07,89,8.3
THE LEGEND OF ZELDA: A LINK BETWEEN WORLDS,3DS,2013.0,Action,Nintendo,3.07,91,9.0
THE SIMS: VACATION,PC,2002.0,Simulation,Electronic Arts,3.07,75,7.8
MASS EFFECT 3,X360,2012.0,Role-Playing,Electronic Arts,3.07,93,5.9
FAR CRY 3,X360,2012.0,Shooter,Ubisoft,3.04,91,8.6
SAINTS ROW 2,X360,2008.0,Action,THQ,3.03,81,8.2
KILLZONE 2,PS3,2009.0,Shooter,Sony Computer Entertainment,3.02,91,8.1
WWE SMACKDOWN! SHUT YOUR MOUTH,PS2,2002.0,Sports,THQ,3.02,82,8.6
GEARS OF WAR: ULTIMATE EDITION,XONE,2015.0,Shooter,Microsoft Game Studios,3.0,82,76.0
NBA 2K13,X360,2012.0,Sports,Take-Two Interactive,3.0,88,7.3
DRAGON BALL Z: BUDOKAI TENKAICHI 3,PS2,2007.0,Fighting,Atari,3.0,73,9.0
MIDDLE-EARTH: SHADOW OF MORDOR,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,2.99,84,80.0
DEVIL MAY CRY,PS2,2001.0,Action,Capcom,2.99,94,8.6
ANIMAL CROSSING: HAPPY HOME DESIGNER,3DS,2015.0,Simulation,Nintendo,2.98,66,7.0
BATTLEFIELD: BAD COMPANY 2,PS3,2010.0,Shooter,Electronic Arts,2.97,88,8.6
THE SIMS 4,PC,2014.0,Simulation,Electronic Arts,2.97,70,4.1
STAR WARS: THE OLD REPUBLIC,PC,2011.0,Role-Playing,Electronic Arts,2.97,85,6.0
KIRBY SUPER STAR ULTRA,DS,2008.0,Platform,Nintendo,2.96,76,8.8
HITMAN 2: SILENT ASSASSIN,PS2,2002.0,Action,Eidos Interactive,2.96,85,7.8
STREET FIGHTER IV,X360,2009.0,Fighting,Capcom,2.95,93,7.3
WAVE RACE 64,N64,1996.0,Racing,Nintendo,2.94,92,8.3
SOCOM II: U.S. NAVY SEALS,PS2,2003.0,Shooter,Sony Computer Entertainment,2.94,87,8.7
WWE SMACKDOWN! VS. RAW 2006,PS2,2005.0,Fighting,THQ,2.94,84,8.3
INFAMOUS,PS3,2009.0,Action,Sony Computer Entertainment,2.94,85,8.3
PAC-MAN COLLECTION,GBA,2001.0,Puzzle,Atari,2.94,79,7.7
MASS EFFECT,X360,2007.0,Role-Playing,Microsoft Game Studios,2.93,91,8.7
COOKING MAMA: COOK OFF,WII,2007.0,Simulation,505 Games,2.91,61,5.7
FIFA 14,PS4,2013.0,Sports,Electronic Arts,2.9,87,63.0
TITANFALL,XONE,2014.0,Shooter,Electronic Arts,2.9,86,67.0
SONIC MEGA COLLECTION PLUS,PS2,2004.0,Misc,Sega,2.9,73,8.6
