Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Meta_Score,User_Score
43,MARIO KART 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,85,8.2
44,HALO 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,94,7.9
45,GRAND THEFT AUTO V,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,97,83.0
47,SUPER MARIO 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,94,9.2
49,SUPER MARIO GALAXY,WII,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,97,9.1
52,GRAND THEFT AUTO IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,98,7.9
54,SUPER MARIO 3D LAND,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,90,8.4
55,GRAN TURISMO 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,84,7.8
56,CALL OF DUTY: MODERN WARFARE 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,94,6.4
57,GRAND THEFT AUTO IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,98,7.5
61,JUST DANCE 3,WII,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,74,8.0
62,CALL OF DUTY: GHOSTS,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,73,2.6
63,HALO: REACH,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,91,8.1
65,NEW SUPER MARIO BROS. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,78,7.2
66,HALO 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,87,7.0
68,CALL OF DUTY: GHOSTS,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,71,2.6
69,JUST DANCE 2,WII,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,74,7.2
71,CALL OF DUTY 4: MODERN WARFARE,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,94,8.5
75,MARIO PARTY DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,72,7.9
76,THE ELDER SCROLLS V: SKYRIM,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,96,8.5
78,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,82,44.0
79,WII PARTY,WII,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,68,7.9
81,MARIO PARTY 8,WII,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,62,6.5
83,FIFA SOCCER 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,88,6.6
84,THE SIMS 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,86,7.8
85,GOLDENEYE 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,96,9.0
86,MARIO & SONIC AT THE OLYMPIC GAMES,WII,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06,67,7.7
87,FINAL FANTASY X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92,8.9
91,GRAND THEFT AUTO: LIBERTY CITY STORIES,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,88,7.7
92,SUPER MARIO GALAXY 2,WII,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,97,9.1
94,CALL OF DUTY: ADVANCED WARFARE,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,83,57.0
95,THE LEGEND OF ZELDA: OCARINA OF TIME,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,99,9.1
99,CALL OF DUTY: WORLD AT WAR,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,84,7.6
100,BATTLEFIELD 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,84,7.5
101,THE LEGEND OF ZELDA: TWILIGHT PRINCESS,WII,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,95,9.0
103,JUST DANCE,WII,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,49,7.8
104,BATTLEFIELD 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,85,7.5
105,NEED FOR SPEED UNDERGROUND,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85,8.7
108,SUPER SMASH BROS. MELEE,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92,9.1
109,MARIO KART 8,WIIU,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,88,89.0
110,FALLOUT 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,87,66.0
111,MARIO KART: DOUBLE DASH!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,87,8.6
112,JUST DANCE 4,WII,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,74,7.7
113,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,86,4.3
114,NEED FOR SPEED UNDERGROUND 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82,8.6
116,UNCHARTED 3: DRAKE'S DECEPTION,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,92,8.4
119,GEARS OF WAR 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,93,7.7
120,UNCHARTED 2: AMONG THIEVES,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,96,8.9
121,CALL OF DUTY 4: MODERN WARFARE,PS3,2007.0,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,94,8.4
124,RED DEAD REDEMPTION,PS3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,95,8.9
125,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,82,57.0
126,DONKEY KONG COUNTRY RETURNS,WII,2010.0,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,87,8.6
127,THE ELDER SCROLLS V: SKYRIM,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,92,6.5
129,ASSASSIN'S CREED III,PS3,2012.0,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,85,6.9
132,KINGDOM HEARTS,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85,9.0
134,HALO 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,83,7.2
135,RED DEAD REDEMPTION,X360,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,95,9.0
136,SUPER MARIO SUNSHINE,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92,8.6
138,WORLD OF WARCRAFT,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,93,7.4
140,KINECT SPORTS,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,73,7.5
141,GEARS OF WAR 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,91,7.9
142,GEARS OF WAR,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,94,8.3
143,METAL GEAR SOLID 2: SONS OF LIBERTY,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96,8.8
145,METAL GEAR SOLID 4: GUNS OF THE PATRIOTS,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,94,8.8
147,THE LAST OF US,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,95,9.2
148,FINAL FANTASY XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92,7.9
149,LITTLEBIGPLANET,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,95,6.8
151,LEGO STAR WARS: THE COMPLETE SAGA,WII,2007.0,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,80,8.7
154,COOKING MAMA,DS,2006.0,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,67,7.3
155,DESTINY,PS4,2014.0,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,76,61.0
157,ASSASSIN'S CREED II,PS3,2009.0,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,91,8.6
158,SUPER SMASH BROS.,N64,1999.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,79,8.7
159,ASSASSIN'S CREED,X360,2007.0,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,81,7.7
160,BATMAN: ARKHAM CITY,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,96,8.7
161,FORZA MOTORSPORT 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,92,8.1
163,SUPER MARIO ADVANCE,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84,7.3
167,CALL OF DUTY: WORLD AT WAR,PS3,2008.0,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,85,7.6
168,CRASH BANDICOOT: THE WRATH OF CORTEX,PS2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66,7.2
173,ASSASSIN'S CREED III,X360,2012.0,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,84,6.8
174,FINAL FANTASY IX,PS,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,9.2
175,FINAL FANTASY X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85,7.5
177,ASSASSIN'S CREED II,X360,2009.0,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,90,8.8
182,DIABLO III,PC,2012.0,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,88,4.1
184,NEW SUPER MARIO BROS. U,WIIU,2012.0,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,84,80.0
186,FIFA SOCCER 13,X360,2012.0,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,90,6.2
187,THE LEGEND OF ZELDA: PHANTOM HOURGLASS,DS,2007.0,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,90,8.0
190,MARIO & SONIC AT THE OLYMPIC GAMES,DS,2008.0,Sports,Sega,1.64,2.48,0.44,0.58,5.14,70,7.2
193,FABLE III,X360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,80,6.5
194,CALL OF DUTY: ADVANCED WARFARE,XONE,2014.0,Shooter,Activision,3.21,1.53,0.01,0.38,5.13,81,55.0
196,GUITAR HERO II,PS2,2006.0,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,92,8.5
197,RESIDENT EVIL 5,PS3,2009.0,Action,Capcom,1.96,1.43,1.08,0.65,5.11,84,7.5
198,GRAND THEFT AUTO V,XONE,2014.0,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08,97,78.0
199,GRAND THEFT AUTO: VICE CITY STORIES,PSP,2006.0,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,86,8.2
200,FIFA SOCCER 11,PS3,2010.0,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,89,8.0
207,LINK'S CROSSBOW TRAINING,WII,2007.0,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,68,7.2
208,GUITAR HERO III: LEGENDS OF ROCK,PS2,2007.0,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82,8.4
209,FALLOUT 3,X360,2008.0,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,93,8.5
211,UNCHARTED: DRAKE'S FORTUNE,PS3,2007.0,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,88,8.0
212,MADDEN NFL 06,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88,8.0
213,LEGO STAR WARS: THE COMPLETE SAGA,DS,2007.0,Action,LucasArts,2.89,1.54,0.0,0.46,4.9,80,6.3
214,DIDDY KONG RACING,N64,1997.0,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,88,8.5
217,GOD OF WAR III,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84,92,8.8
218,STARCRAFT II: WINGS OF LIBERTY,PC,2010.0,Strategy,Activision,2.56,1.68,0.0,0.59,4.83,93,8.3
219,ASSASSIN'S CREED,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.83,4.83,81,7.3
222,FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77,85,48.0
223,BATMAN: ARKHAM CITY,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76,94,8.7
224,DRIVER 2,PS,2000.0,Action,Atari,2.36,2.1,0.02,0.25,4.73,62,7.8
225,THE SIMPSONS: HIT & RUN,PS2,2003.0,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,78,8.7
226,TONY HAWK'S PRO SKATER 2,PS,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98,7.4
227,ANIMAL CROSSING: CITY FOLK,WII,2008.0,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,73,7.9
228,THE LORD OF THE RINGS: THE TWO TOWERS,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82,8.1
229,FORZA MOTORSPORT 4,X360,2011.0,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64,91,8.2
231,GUITAR HERO III: LEGENDS OF ROCK,WII,2007.0,Misc,Activision,3.06,1.12,0.0,0.44,4.62,86,7.8
234,MARIO & SONIC AT THE OLYMPIC WINTER GAMES,WII,2009.0,Sports,Sega,1.89,1.99,0.22,0.48,4.58,72,7.5
235,LUIGI'S MANSION: DARK MOON,3DS,2013.0,Action,Nintendo,1.78,1.39,1.1,0.3,4.58,86,8.4
236,SPLATOON,WIIU,2015.0,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57,81,87.0
238,GUITAR HERO III: LEGENDS OF ROCK,X360,2007.0,Misc,Activision,3.19,0.92,0.01,0.42,4.53,85,7.9
239,MADDEN NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91,7.9
241,MADDEN NFL 07,PS2,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84,8.2
242,SPIDER-MAN: THE MOVIE,PS2,2002.0,Action,Activision,2.71,1.51,0.03,0.23,4.48,76,7.7
244,UNCHARTED: THE NATHAN DRAKE COLLECTION,PS4,2015.0,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47,86,85.0
246,GOD OF WAR,PS2,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94,8.9
247,NINTENDO LAND,WIIU,2012.0,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44,77,79.0
249,TONY HAWK'S PRO SKATER 3,PS2,2001.0,Sports,Activision,2.66,1.29,0.01,0.46,4.41,97,7.5
251,THE ELDER SCROLLS IV: OBLIVION,X360,2006.0,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39,94,8.7
254,RESISTANCE: FALL OF MAN,PS3,2006.0,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35,86,8.1
257,FIFA 14,X360,2013.0,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31,84,4.2
260,FABLE II,X360,2008.0,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31,89,6.6
261,HALO 5: GUARDIANS,XONE,2015.0,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26,84,64.0
262,SUPER MARIO 3D WORLD,WIIU,2013.0,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25,93,89.0
263,BATMAN: ARKHAM ASYLUM,PS3,2009.0,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25,91,8.8
264,ASSASSIN'S CREED: REVELATIONS,PS3,2011.0,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24,80,7.6
265,NAMCO MUSEUM,GBA,2001.0,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24,79,7.3
266,METAL GEAR SOLID 3: SNAKE EATER,PS2,2004.0,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,91,9.0
267,DAXTER,PSP,2006.0,Platform,Sony Computer Entertainment,2.45,1.02,0.0,0.75,4.22,85,8.6
270,FIFA SOCCER 06,PS2,2005.0,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,80,7.8
272,UNCHARTED 4: A THIEF'S END,PS4,2016.0,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2,93,84.0
274,ASSASSIN'S CREED: REVELATIONS,X360,2011.0,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,80,7.2
275,STREET FIGHTER IV,PS3,2009.0,Fighting,Capcom,2.02,1.06,0.58,0.53,4.19,94,7.3
280,MADDEN NFL 2003,PS2,2002.0,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14,95,7.4
281,WATCH DOGS,PS4,2014.0,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14,80,64.0
285,THE LEGEND OF ZELDA: SKYWARD SWORD,WII,2011.0,Action,Nintendo,2.14,1.2,0.37,0.4,4.1,93,8.1
287,CARNIVAL GAMES,WII,2007.0,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1,56,6.0
288,FALLOUT 4,XONE,2015.0,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09,88,64.0
289,WORLD OF WARCRAFT: THE BURNING CRUSADE,PC,2007.0,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09,91,7.0
290,FALLOUT: NEW VEGAS,X360,2010.0,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08,84,8.3
291,GOD OF WAR II,PS2,2007.0,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,93,8.9
292,FORZA MOTORSPORT 2,X360,2007.0,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.06,90,8.3
295,TEKKEN TAG TOURNAMENT,PS2,2000.0,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05,85,8.5
296,FAR CRY 4,PS4,2014.0,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03,85,77.0
297,STAR FOX 64,N64,1997.0,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03,88,8.9
300,FALLOUT 3,PS3,2008.0,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01,90,8.0
302,LEFT 4 DEAD 2,X360,2009.0,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99,89,8.6
304,EA SPORTS ACTIVE,WII,2009.0,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92,81,8.2
307,TONY HAWK'S UNDERGROUND,PS2,2003.0,Sports,Activision,2.29,1.17,0.01,0.42,3.9,90,8.7
308,ASSASSIN'S CREED IV: BLACK FLAG,PS3,2013.0,Action,Ubisoft,1.33,1.71,0.13,0.73,3.89,88,8.2
311,THE ELDER SCROLLS V: SKYRIM,PC,2011.0,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88,94,8.4
312,TEKKEN 5,PS2,2005.0,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87,88,8.7
314,SPORTS CHAMPIONS,PS3,2010.0,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87,76,7.9
315,NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,2.48,0.65,0.03,0.69,3.85,87,67.0
317,FLASH FOCUS: VISION TRAINING IN MINUTES A DAY,DS,2007.0,Misc,Nintendo,0.87,1.57,1.05,0.35,3.84,59,4.4
320,MARIO & LUIGI: BOWSER'S INSIDE STORY,DS,2009.0,Role-Playing,Nintendo,2.26,0.48,0.81,0.27,3.83,90,8.8
321,BIG BRAIN ACADEMY: WII DEGREE,WII,2007.0,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82,68,7.0
323,BATMAN: ARKHAM KNIGHT,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79,87,78.0
324,MARIO & SONIC AT THE LONDON 2012 OLYMPIC GAMES,WII,2011.0,Sports,Sega,1.14,1.91,0.27,0.46,3.78,66,7.8
325,LEGO INDIANA JONES: THE ORIGINAL ADVENTURES,X360,2008.0,Action,Activision,2.4,1.03,0.0,0.36,3.78,77,7.6
327,RATCHET & CLANK: SIZE MATTERS,PSP,2007.0,Platform,Sony Computer Entertainment,1.4,1.4,0.1,0.87,3.77,85,8.1
329,THE SIMS: UNLEASHED,PC,2002.0,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76,79,7.7
330,SUPER PAPER MARIO,WII,2007.0,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76,85,8.0
331,HARRY POTTER AND THE SORCERER'S STONE,PS,2001.0,Action,Electronic Arts,1.37,2.0,0.14,0.22,3.73,64,7.5
332,THE WITCHER 3: WILD HUNT,PS4,2015.0,Role-Playing,Namco Bandai Games,0.96,2.0,0.21,0.56,3.73,92,92.0
334,SPYRO: YEAR OF THE DRAGON,PS,2000.0,Platform,Sony Computer Entertainment,1.93,1.58,0.0,0.19,3.71,91,8.9
335,FIFA SOCCER 2005,PS2,2004.0,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7,81,7.6
337,BATTLEFIELD 4,PS3,2013.0,Shooter,Electronic Arts,1.3,1.51,0.27,0.61,3.69,80,5.9
338,MYSIMS,DS,2007.0,Simulation,Electronic Arts,1.59,1.61,0.08,0.41,3.69,67,7.0
340,TONY HAWK'S PRO SKATER 4,PS2,2002.0,Sports,Activision,2.13,1.18,0.01,0.35,3.67,94,8.4
341,MIDNIGHT CLUB 3: DUB EDITION,PSP,2005.0,Racing,Take-Two Interactive,1.65,1.22,0.0,0.79,3.66,74,8.2
342,BANJO-KAZOOIE,N64,1998.0,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65,92,9.1
343,SOCOM: U.S. NAVY SEALS,PS2,2002.0,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65,82,7.9
345,GRAN TURISMO 6,PS3,2013.0,Racing,Sony Computer Entertainment,0.71,1.8,0.4,0.74,3.64,81,8.0
346,JAK AND DAXTER: THE PRECURSOR LEGACY,PS2,2001.0,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64,90,8.8
347,POKEMON SNAP,N64,1999.0,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63,77,7.5
348,FIFA SOCCER 10,PS3,2009.0,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63,91,7.5
350,CALL OF DUTY: GHOSTS,PS4,2013.0,Shooter,Activision,1.78,1.42,0.05,0.38,3.63,78,38.0
351,RESIDENT EVIL 4,PS2,2005.0,Action,Capcom,2.08,0.83,0.46,0.25,3.62,96,9.0
352,TOM CLANCY'S THE DIVISION,PS4,2016.0,Shooter,Ubisoft,1.28,1.61,0.15,0.57,3.61,80,70.0
353,STAR WARS: BATTLEFRONT,PS2,2004.0,Shooter,LucasArts,1.93,1.22,0.03,0.44,3.61,82,8.7
356,COOKING MAMA 2: DINNER WITH FRIENDS,DS,2007.0,Simulation,505 Games,1.61,1.5,0.1,0.39,3.61,70,8.1
357,LUIGI'S MANSION,GC,2001.0,Action,Nintendo,2.38,0.67,0.46,0.1,3.6,78,8.5
358,STAR WARS: BATTLEFRONT II,PS2,2005.0,Shooter,LucasArts,2.18,1.02,0.03,0.37,3.59,84,8.9
361,GRAND THEFT AUTO: LIBERTY CITY STORIES,PS2,2006.0,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54,78,7.8
